key,name
energy_interconnector_9_imported_electricity.output (MW),exchange
energy_offshore_sequestration_co2_electricity.input (MW),demand
energy_power_combined_cycle_ccs_coal.output (MW),flexibility
energy_power_combined_cycle_ccs_network_gas.output (MW),flexibility
energy_power_combined_cycle_coal.output (MW),flexibility
energy_power_combined_cycle_coal_gas.output (MW),flexibility
energy_power_combined_cycle_hydrogen.output (MW),flexibility
energy_power_combined_cycle_network_gas.output (MW),flexibility
energy_power_engine_diesel.output (MW),flexibility
energy_power_engine_network_gas.output (MW),flexibility
energy_power_geothermal.output (MW),flexibility
energy_power_hv_network_loss.input (MW),demand
energy_power_hydro_mountain.output (MW),flexibility
energy_power_hydro_river.output (MW),flexibility
energy_power_nuclear_gen2_uranium_oxide.output (MW),flexibility
energy_power_nuclear_gen3_uranium_oxide.output (MW),flexibility
energy_power_nuclear_small_modular_reactor_uranium_oxide.output (MW),flexibility
energy_power_sector_own_use_electricity.input (MW),demand
energy_power_solar_csp_solar_radiation.output (MW),supply
energy_power_solar_pv_offshore.output (MW),supply
energy_power_solar_pv_solar_radiation.output (MW),supply
energy_power_supercritical_ccs_waste_mix.output (MW),flexibility
energy_power_supercritical_coal.output (MW),flexibility
energy_power_supercritical_waste_mix.output (MW),flexibility
energy_power_turbine_hydrogen.output (MW),flexibility
energy_power_turbine_network_gas.output (MW),flexibility
energy_power_ultra_supercritical_ccs_coal.output (MW),flexibility
energy_power_ultra_supercritical_coal.output (MW),flexibility
energy_power_ultra_supercritical_cofiring_coal.output (MW),flexibility
energy_power_ultra_supercritical_crude_oil.output (MW),flexibility
energy_power_ultra_supercritical_lignite.output (MW),flexibility
energy_power_ultra_supercritical_network_gas.output (MW),flexibility
energy_power_ultra_supercritical_oxyfuel_ccs_lignite.output (MW),flexibility
energy_power_wind_turbine_coastal.output (MW),supply
energy_power_wind_turbine_inland.output (MW),supply
energy_power_wind_turbine_offshore.output (MW),supply
energy_synthetic_products_electricity.input (MW),demand
households_cooker_halogen_electricity.input (MW),demand
households_cooker_induction_electricity.input (MW),demand
households_cooker_resistive_electricity.input (MW),demand
households_cooling_airconditioning_electricity.input (MW),demand
households_cooling_heatpump_air_water_electricity.input (MW),demand
households_cooling_heatpump_ground_water_electricity.input (MW),demand
households_cooling_heatpump_surface_water_water_ts_electricity.input (MW),demand
households_final_demand_for_appliances_electricity.input (MW),demand
households_flexibility_p2p_electricity.input (MW),flexibility
households_flexibility_p2p_electricity.output (MW),flexibility
households_lighting_efficient_fluorescent_electricity.input (MW),demand
households_lighting_incandescent_electricity.input (MW),demand
households_lighting_led_electricity.input (MW),demand
households_solar_pv_solar_radiation.output (MW),supply
households_solar_pvt_solar_radiation.output (MW),supply
households_space_heater_electricity.input (MW),demand
households_space_heater_heatpump_air_water_electricity.input (MW),demand
households_space_heater_heatpump_ground_water_electricity.input (MW),demand
households_space_heater_heatpump_surface_water_water_ts_electricity.input (MW),demand
households_space_heater_heatpump_pvt_electricity.input (MW),demand
households_space_heater_hybrid_heatpump_air_water_electricity.input (MW),demand
households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity.input (MW),demand
households_water_heater_heatpump_air_water_electricity.input (MW),demand
households_water_heater_heatpump_ground_water_electricity.input (MW),demand
households_water_heater_heatpump_surface_water_water_ts_electricity.input (MW),demand
households_water_heater_heatpump_pvt_electricity.input (MW),demand
households_water_heater_hybrid_heatpump_air_water_electricity.input (MW),demand
households_water_heater_hybrid_hydrogen_heatpump_air_water_electricity.input (MW),demand
households_water_heater_resistive_electricity.input (MW),demand
industry_chemical_other_captured_co2_electricity.input (MW),demand
industry_chemicals_fertilizers_captured_combustion_co2_electricity.input (MW),demand
industry_chemicals_fertilizers_captured_processes_co2_electricity.input (MW),demand
industry_chemicals_fertilizers_flexibility_p2h_hydrogen_electricity.input (MW),flexibility
industry_chemicals_fertilizers_flexibility_p2h_hydrogen_electricity.output (MW),flexibility
industry_chemicals_fertilizers_flexibility_p2h_network_gas_electricity.input (MW),flexibility
industry_chemicals_fertilizers_flexibility_p2h_network_gas_electricity.output (MW),flexibility
industry_chemicals_other_flexibility_p2h_hydrogen_electricity.input (MW),flexibility
industry_chemicals_other_flexibility_p2h_hydrogen_electricity.output (MW),flexibility
industry_chemicals_other_flexibility_p2h_network_gas_electricity.input (MW),flexibility
industry_chemicals_other_flexibility_p2h_network_gas_electricity.output (MW),flexibility
industry_chemicals_other_heater_electricity.input (MW),demand
industry_chemicals_other_heatpump_water_water_electricity.input (MW),demand
industry_chemicals_other_steam_recompression_electricity.input (MW),demand
industry_chemicals_refineries_captured_co2_electricity.input (MW),demand
industry_chemicals_refineries_flexibility_p2h_hydrogen_electricity.input (MW),flexibility
industry_chemicals_refineries_flexibility_p2h_hydrogen_electricity.output (MW),flexibility
industry_chemicals_refineries_flexibility_p2h_network_gas_electricity.input (MW),flexibility
industry_chemicals_refineries_flexibility_p2h_network_gas_electricity.output (MW),flexibility
industry_chp_combined_cycle_gas_power_fuelmix.output (MW),flexibility
industry_chp_engine_gas_power_fuelmix.output (MW),flexibility
industry_chp_turbine_gas_power_fuelmix.output (MW),flexibility
industry_chp_turbine_hydrogen.output (MW),flexibility
industry_chp_ultra_supercritical_coal.output (MW),flexibility
industry_chp_wood_pellets.output (MW),flexibility
industry_final_demand_for_chemical_dsr_load_shifting_electricity.input (MW),flexibility
industry_final_demand_for_chemical_dsr_load_shifting_electricity.output (MW),flexibility
industry_final_demand_for_metal_aluminium_electricity.input (MW),demand
industry_final_demand_for_metal_dsr_load_shifting_electricity.input (MW),flexibility
industry_final_demand_for_metal_dsr_load_shifting_electricity.output (MW),flexibility
industry_final_demand_for_metal_other_metals_electricity.input (MW),demand
industry_final_demand_for_other_dsr_load_shifting_electricity.input (MW),flexibility
industry_final_demand_for_other_dsr_load_shifting_electricity.output (MW),flexibility
industry_final_demand_for_other_ict_dsr_load_shifting_electricity.input (MW),flexibility
industry_final_demand_for_other_ict_dsr_load_shifting_electricity.output (MW),flexibility
industry_final_demand_for_other_ict_electricity.input (MW),demand
industry_final_demand_for_other_non_specified_electricity.input (MW),demand
industry_heat_well_geothermal.input (MW),demand
industry_other_food_captured_co2_electricity.input (MW),demand
industry_other_food_flexibility_p2h_hydrogen_electricity.input (MW),flexibility
industry_other_food_flexibility_p2h_hydrogen_electricity.output (MW),flexibility
industry_other_food_flexibility_p2h_network_gas_electricity.input (MW),flexibility
industry_other_food_flexibility_p2h_network_gas_electricity.output (MW),flexibility
industry_other_food_heater_electricity.input (MW),demand
industry_other_paper_captured_co2_electricity.input (MW),demand
industry_other_paper_flexibility_p2h_hydrogen_electricity.input (MW),flexibility
industry_other_paper_flexibility_p2h_hydrogen_electricity.output (MW),flexibility
industry_other_paper_flexibility_p2h_network_gas_electricity.input (MW),flexibility
industry_other_paper_flexibility_p2h_network_gas_electricity.output (MW),flexibility
industry_other_paper_heater_electricity.input (MW),demand
industry_steel_blastfurnace_bof.input (MW),demand
industry_steel_blastfurnace_bof_captured_co2_electricity.input (MW),demand
industry_steel_cyclonefurnace_bof.input (MW),demand
industry_steel_cyclonefurnace_bof_captured_co2_electricity.input (MW),demand
industry_steel_dri_hydrogen.input (MW),demand
industry_steel_dri_network_gas.input (MW),demand
industry_steel_dri_network_gas_captured_co2_electricity.input (MW),demand
industry_steel_external_coupling_node.input (MW),demand
industry_steel_external_coupling_node_captured_co2_electricity.input (MW),demand
industry_steel_scrap_hbi_eaf.input (MW),demand
industry_useful_demand_for_chemical_fertilizers_electricity.input (MW),demand
industry_useful_demand_for_chemical_other_electricity.input (MW),demand
industry_useful_demand_for_chemical_refineries_electricity.input (MW),demand
industry_useful_demand_for_other_food_electricity.input (MW),demand
industry_useful_demand_for_other_paper_electricity.input (MW),demand
other_final_demand_electricity.input (MW),demand
transport_bicycle_using_electricity.input (MW),demand
transport_bus_flexibility_p2p_electricity.input (MW),flexibility
transport_bus_flexibility_p2p_electricity.output (MW),flexibility
transport_bus_using_electricity.input (MW),demand
transport_car_flexibility_p2p_electricity.input (MW),flexibility
transport_car_flexibility_p2p_electricity.output (MW),flexibility
transport_car_using_electricity.input (MW),demand
transport_freight_train_using_electricity.input (MW),demand
transport_motorcycle_using_electricity.input (MW),demand
transport_passenger_train_using_electricity.input (MW),demand
transport_plane_using_electricity.input (MW),demand
transport_ship_using_electricity.input (MW),demand
transport_tram_using_electricity.input (MW),demand
transport_truck_flexibility_p2p_electricity.input (MW),flexibility
transport_truck_flexibility_p2p_electricity.output (MW),flexibility
transport_truck_using_electricity.input (MW),demand
transport_van_flexibility_p2p_electricity.input (MW),flexibility
transport_van_flexibility_p2p_electricity.output (MW),flexibility
transport_van_using_electricity.input (MW),demand
