ETM_ID,ETM_CARRIER,CATEGORIZATION_A,CATEGORIZATION_B,CATEGORIZATION_C
households_water_heater_heatpump_air_water_electricity.input (MW),electricity,,,
households_water_heater_heatpump_ground_water_electricity.input (MW),electricity,,,
households_water_heater_hybrid_heatpump_air_water_electricity.input (MW),electricity,,,
households_water_heater_hybrid_hydrogen_heatpump_air_water_electricity.input (MW),electricity,,,
households_water_heater_resistive_electricity.input (MW),electricity,,,
industry_aluminium_carbothermalreduction_electricity.input (MW),electricity,,,
industry_aluminium_electrolysis_bat_electricity.input (MW),electricity,,,
industry_aluminium_electrolysis_current_electricity.input (MW),electricity,,,
industry_aluminium_smeltoven_electricity.input (MW),electricity,,,
industry_chemicals_fertilizers_captured_combustion_co2_electricity.input (MW),electricity,,,
industry_chemicals_fertilizers_captured_processes_co2_electricity.input (MW),electricity,,,
industry_chemicals_other_flexibility_p2h_hydrogen_electricity.input (MW),electricity,,,
industry_chemicals_other_flexibility_p2h_hydrogen_electricity.output (MW),electricity,,,
industry_chemicals_other_flexibility_p2h_network_gas_electricity.input (MW),electricity,,,
industry_chemicals_other_flexibility_p2h_network_gas_electricity.output (MW),electricity,,,
industry_chemicals_other_heater_electricity.input (MW),electricity,,,
industry_chemicals_other_heatpump_water_water_electricity.input (MW),electricity,,,
industry_chemicals_other_steam_recompression_electricity.input (MW),electricity,,,
industry_chemicals_refineries_flexibility_p2h_hydrogen_electricity.input (MW),electricity,,,
industry_chemicals_refineries_flexibility_p2h_hydrogen_electricity.output (MW),electricity,,,
industry_chemicals_refineries_flexibility_p2h_network_gas_electricity.input (MW),electricity,,,
industry_chemicals_refineries_flexibility_p2h_network_gas_electricity.output (MW),electricity,,,
industry_chp_combined_cycle_gas_power_fuelmix.output (MW),electricity,,,
industry_chp_engine_gas_power_fuelmix.output (MW),electricity,,,
industry_chp_turbine_gas_power_fuelmix.output (MW),electricity,,,
industry_chp_ultra_supercritical_coal.output (MW),electricity,,,
industry_chp_wood_pellets.output (MW),electricity,,,
industry_final_demand_for_other_ict_electricity.input (MW),electricity,,,
industry_final_demand_for_other_non_specified_electricity.input (MW),electricity,,,
industry_heat_well_geothermal.input (MW),electricity,,,
industry_other_food_captured_co2_electricity.input (MW),electricity,,,
industry_other_food_flexibility_p2h_hydrogen_electricity.input (MW),electricity,,,
industry_other_food_flexibility_p2h_hydrogen_electricity.output (MW),electricity,,,
industry_other_food_flexibility_p2h_network_gas_electricity.input (MW),electricity,,,
